2023-02-08 10:02:03.345 INFO  [main][PortalContextLoaderListener:123] JVM arguments: -Dcatalina.base=/media/root322/Data/Documents/LiferayWorkspace/bundles/tomcat-9.0.56 -Dcatalina.home=/media/root322/Data/Documents/LiferayWorkspace/bundles/tomcat-9.0.56 -Dfile.encoding=UTF8 -Djava.io.tmpdir=/media/root322/Data/Documents/LiferayWorkspace/bundles/tomcat-9.0.56/temp -Djava.net.preferIPv4Stack=true -Djava.util.logging.config.file=/media/root322/Data/Documents/LiferayWorkspace/bundles/tomcat-9.0.56/conf/logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Dorg.apache.catalina.loader.WebappClassLoader.ENABLE_CLEAR_REFERENCES=false -Duser.timezone=GMT -Xmx2560m -XX:MaxMetaspaceSize=768m -XX:MetaspaceSize=768m -javaagent:/snap/intellij-idea-ultimate/405/lib/idea_rt.jar=43767:/snap/intellij-idea-ultimate/405/bin
2023-02-08 10:02:07.729 INFO  [main][DialectDetector:153] Using dialect org.hibernate.dialect.MySQL8Dialect for MySQL 8.0
2023-02-08 10:02:13.543 INFO  [main][ModuleFrameworkImpl:1279] Starting initial bundles
2023-02-08 10:02:15.823 INFO  [ModuleFramework-Static-Bundles-3][InterpolationConfigurationPlugin:109] Configured directory for secrets: /media/root322/Data/Documents/LiferayWorkspace/bundles/osgi/configs
2023-02-08 10:02:19.860 INFO  [ModuleFramework-Static-Bundles-8][DefaultLPKGDeployer:456] Using overriding JAR bundle LPKG-Override::/media/root322/Data/Documents/LiferayWorkspace/bundles/osgi/marketplace/override/com.liferay.document.library.web.jar
2023-02-08 10:02:19.864 INFO  [ModuleFramework-Static-Bundles-8][DefaultLPKGDeployer:456] Using overriding JAR bundle LPKG-Override::/media/root322/Data/Documents/LiferayWorkspace/bundles/osgi/marketplace/override/com.liferay.portal.language.lang.jar
2023-02-08 10:02:19.969 INFO  [main][ModuleFrameworkImpl:1576] Started initial bundles
2023-02-08 10:02:19.970 INFO  [main][ModuleFrameworkImpl:1625] Starting dynamic bundles
2023-02-08 10:03:34.764 INFO  [Start Level: Equinox Container: a3f7f907-12c6-48cd-bc28-53dd2e7e57fa][MessageBusRegistrator:41] Message Listener Registered..com.liferaysavvy.messagebus.event.listener.MessageBusRegisteredParallelMessageListener@42b1d913
2023-02-08 10:03:34.769 INFO  [Start Level: Equinox Container: a3f7f907-12c6-48cd-bc28-53dd2e7e57fa][MessageBusRegistrator:45] Message Listener Registered..com.liferaysavvy.messagebus.event.listener.MessageBusRegisteredSerialMessageListener@209d35b1
2023-02-08 10:03:34.771 INFO  [Start Level: Equinox Container: a3f7f907-12c6-48cd-bc28-53dd2e7e57fa][MessageBusRegistrator:49] Message Listener Registered..com.liferaysavvy.messagebus.event.listener.MessageBusRegisteredSynchronousMessageListener@7b42785
